id,screen_name,category
500de119067d0cf9b4667c0e,ammouliani,Hotel
500de1eb067d0cf9b4668f78,alikescamping,Hotel
500ea78de4b08b8aba4b6deb,SILENZIOgreece,Men's Store
500fd59ae4b05969b6cead34,marketgalaxias,Supermarket
50118b42e4b0b96016ecf8df,liveloulasandal,Gift Shop
50162925e4b0dbe1592de5a0,Triton_Cruises,Cruise Ship
501e7fa7e4b05160dd95555f,ErsiVillas,Hotel
50213b4ae4b0023302327d7b,cristiansutu,Beach
5024f143e88928412d986352,CartridgeGreece,Paper / Office Supplies Store
5031053de4b0504d9f236c4e,_Afrodites_,Greek Restaurant
5033568f1648095c7f3c2d63,vagpar,Dentist's Office
5034e685e4b098e3f9a5895d,brigitte_boutiq,Boutique
50367bc590e707f801884477,ThessalonikiUA,General Travel
503c559ce4b0fa23d447b172,Portes_Beach,Hotel
503ca8f5e4b031746f549d56,afisestelos,Recycling Facility
503fa116e4b0831ca7b948f9,PharmcareGr,Pharmacy
503fd9bef136f16c2f2efd43,AlexanderHaus,Hotel
5040d9a08acab3f2548aed22,SpoonThess,Café
50410efc52621bf519a7c55e,MultishopTobacc,Smoke Shop
5045b47af2e7cca8e91d261f,roninkendoclub,Athletics & Sports
504621bbfe70794038f9db6a,furnituregreece,Furniture / Home Store
504d8f3de4b0ef19b1a255aa,alexandrospas,Hotel
504e1cade4b0f7c8cfda4245,athoscuba,Dive Spot
5050b63ee4b0dd1afe0df670,AnabiosiSA,Medical Center
505725fee4b0244ddf9cc6ab,pointblank_gr,Office
5059c194e4b01b7ff5e43310,mynewdenim,Clothing Store
5059c9da8acae831db4c08ac,Pellet24,Furniture / Home Store
505c1b57e4b06d1d2a535305,FabioZardi,Event Service
50634a25183f10b6f3077de3,AnthiMariaApart,Hotel
5066ab48e4b03c3d3a74ed03,eFantasygr,Hobby Shop
506aa323e4b070cad7845de3,BeeRealEstate,Office
5072a991e4b01a359a0cdd1d,CineTopo,Student Center
507c13b8e4b06fd3ab42b705,sxediastinpoli,Non-Profit
5086ab72f31c18f69e7dd873,LIDAfootwear,Shoe Store
508d6c3ce4b04ae5908d21d5,celestyalcruise,Cruise Ship
5090dde1e4b085028058357d,HellasGoldSA,Factory
50917f30e4b014dc94dea561,moustakastoys,Toy / Game Store
50a4a8c5e4b0521a6c798ba4,Anamo,Tech Startup
50aa6c08e4b0b2e8c0fc6a8c,SV2HRT,School
50b8b8c1e4b0073faa8d8af2,ziz_,Electronics Store
50bdfe9f183f8c83cf2c9189,tosergiani,Dance Studio
50be31a5d63e309279e8ac6f,metro_cashcarry,Warehouse Store
50ce085ee4b0fb9333497678,OffRhodesAdv,Other Great Outdoors
50d17eb719a920892e18054e,Mersinias,Doctor's Office
