ID,Twitter,Category
"4dee3107813070203276c194","novagreece","Electronics Store"
"4dee3405813070203276d825","novagreece","Electronics Store"
"4dee3d4d1fc7b24f441ccaa9","novagreece","Electronics Store"
"4dee43ae1fc7b24f441cf930","novagreece","Electronics Store"
"4dee44c8d22deb0316f264b1","aenaonvillas","Hotel"
"4def1d991f6e6d3541793d12","dentagr","Dentist's Office"
"4def57b181dcfb51be4431e5","novagreece","Electronics Store"
"4df2010088772e1f814d699f","obelixsantorini","Souvlaki Shop"
"4df25e297d8b18e1722ad400","pizzafan_tweet","Pizza Place"
"4df4d38e6284fefe8fc6f5ff","avrabeachresort","Resort"
"4df886711495b7db1b0eb933","avis_greece","Rental Car Location"
"4dfb67c5d164f73de7cce723","bp_plc","Gas Station"
"4dfc7f5ca809d61e2fbffc49","igeniusgr","Electronics Store"
"4dfcd5ab8877e9c4749416cd","studioslotos","Vacation Rental"
"4dff6a3945dd3320c882ec05","danairesort","Resort"
"4e004a9a18a8abfb3f69dc2e","dodoniicecream","Ice Cream Shop"
"4e00ca501838cb6a1acbd1b0","kirinihotel","Hotel"
"4e00d57b814d9dac7d527f82","vodafone_gr","Mobile Phone Shop"
"4e01a1ae1495692a4bb983b5","anatolia1886","High School"
"4e04381163653b7c0b3e5fbc","theoharidou","General College & University"
"4e043a1763653b7c0b3e6018","theoharidou","General College & University"
"4e05efc76284d9ee92cb8094","porto_carras","Resort"
"4e05f2ad1f6e21103383153d","ellinikothess","Meze Restaurant"
"4e073f8ad22d658532a49cf3","hotelmakarios","Hotel"
"4e077e8a8877394591e69bbb","paliaplaka","Greek Restaurant"
"4e088ddf14959022c89d1cc0","vodafone_gr","Mobile Phone Shop"
"4e0a2aa7483b98d417234bc4","artinweb","Tech Startup"
"4e0c3beec65bd1c17b6c1577","dei_gr","Building"
"4e0e13f17d8bb178a8a54bf8","eurobank_group","Bank"
"4e0efba0d4c0f6d6b3ff3596","atriumhotels","Hotel"
"4e12c3b81f6e671dd9f375cf","dei_gr","Government Building"
"4e143012ae60fe00dfdcb671","alpha_bank","Bank"
"4e145e09b0fb5dfdd07b0ab4","bazaarsm","Supermarket"
"4e1714d8aeb7e76b4f23b73d","senapolloblue","Hotel"
"4e171960a8090df1eca1d464","kykladesbar","Beach Bar"
